"date","tz","Hospital_PK","Level","PDR","PBR","total","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","A13","A14","A15","A16","A17","C01","C02","C03","C04","C05","C06","B01","B02","B03","B04","B05","B06","Light"
2013-01-01,"[0,4)",6,1,3,0.285714285714286,0,4,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-01,"[0,4)",22,1,8.5,0.472222222222222,51,49,0,2,0,0,0,2,9,38,2,0,5,5,0,17,2913,0,0,0,0,0,0,0,0,5,3,2,0,1,1
2013-01-01,"[0,4)",35,1,18.75,0.362745098039216,74,58,8,8,0,1,0,1,30,43,0,0,9,11,0,39,677,1,3,0,0,0,1,0,0,1,1,6,5,0,3
2013-01-01,"[0,4)",11,2,8,0.617647058823529,17,17,3,1,0,2,1,0,1,8,8,0,0,0,0,5,384,0,0,0,0,0,0,0,0,0,8,0,0,0,1
2013-01-01,"[0,4)",12,2,6.5,0.52,13,8,4,1,0,0,0,1,0,11,1,0,5,7,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,0,1
2013-01-01,"[0,4)",16,2,3.5,0.125,7,5,0,0,2,0,0,0,1,4,1,1,4,13,0,0,0,0,0,3,0,0,3,0,0,0,7,4,8,0,1
2013-01-01,"[0,4)",17,2,2,0.1,3,1,0,1,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1
2013-01-01,"[0,4)",40,2,5,0.333333333333333,5,4,0,1,0,0,0,0,0,4,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1
2013-01-01,"[4,8)",6,1,2.5,0.238095238095238,0,2,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-01,"[4,8)",22,1,11.3333333333333,0.62962962962963,68,60,5,3,0,0,0,2,14,44,8,0,5,9,0,18,3093,0,0,0,0,0,0,0,0,5,3,2,0,1,1
2013-01-01,"[4,8)",35,1,18.75,0.367647058823529,75,59,9,7,0,0,0,1,30,44,0,0,8,7,0,37,677,2,2,0,2,0,1,0,0,1,1,6,5,0,3
2013-01-01,"[4,8)",11,2,9,0.794117647058823,23,24,2,1,0,0,0,0,1,11,11,0,3,0,2,7,594,0,0,0,0,0,0,0,0,0,6,0,0,0,1
2013-01-01,"[4,8)",12,2,6.5,0.52,14,12,1,0,0,0,0,0,1,13,0,0,4,2,0,0,0,0,0,0,4,0,0,0,0,0,0,3,1,0,1
2013-01-01,"[4,8)",16,2,3.5,0.15,7,3,1,2,1,0,0,0,2,4,1,0,4,9,0,1,227,0,0,3,0,0,3,0,0,0,7,4,8,0,1
2013-01-01,"[4,8)",17,2,1,0.05,3,1,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1
2013-01-01,"[4,8)",40,2,4,0.266666666666667,4,3,1,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1
2013-01-01,"[8,12)",6,1,5,0.476190476190476,0,6,4,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-01,"[8,12)",22,1,10,0.555555555555556,60,52,1,7,0,0,0,4,12,39,5,0,6,5,1,18,3273,1,0,1,0,0,1,0,0,4,3,2,0,1,1
2013-01-01,"[8,12)",35,1,20.5,0.392156862745098,80,65,8,7,0,2,0,1,31,44,4,0,13,7,0,38,677,2,2,0,2,2,1,0,0,1,1,6,5,0,3
