target,TrainingPercent,folds,trainMHS,testMHS,calibrationMHS,AdjustedRSquared
A12,0.9,5,0.936689775330259,0.924561335162154,0.917829264826857,0.596703774059359
A15,0.9,5,0.970107292657776,0.963500096166739,0.964853499158848,0.921741377542443
Light,0.9,5,0.909951583369489,0.902619864325048,0.90404224240317,0.692223008362224
total,0.9,5,0.985101680540224,0.981038354596077,0.982226935420677,0.935304931076551
A12,0.9,10,0.939401072773281,0.92296226923944,0.915822705307817,0.586463669128809
A15,0.9,10,0.974872319960363,0.961623852307981,0.962355309289005,0.889323411749166
Light,0.9,10,0.914763157967769,0.901383919444848,0.901135489861659,0.748601189655691
total,0.9,10,0.988254057356539,0.980223885675577,0.980818692926315,0.927385774694222
A12,0.8,5,0.937927772312813,0.923863979734802,0.921622453829644,0.601021663845602
A15,0.8,5,0.968741745421735,0.964720081913222,0.9675515353389,0.885064919005601
Light,0.8,5,0.911705847235544,0.903757480445172,0.90738409747857,0.725976225097575
total,0.8,5,0.984903154250421,0.982014203051611,0.983589585579711,0.942886045714507
A12,0.8,10,0.939270665196831,0.920956477791436,0.917537335894813,0.582537443946112
A15,0.8,10,0.975959236773874,0.963594789955015,0.966925055983502,0.963136210361987
Light,0.8,10,0.915213919170012,0.902540447200801,0.902557299212495,0.660264759762833
total,0.8,10,0.987738025161366,0.981478675791483,0.98279440784057,0.993556183214063
A12,0.7,5,0.934998765981055,0.925336089488391,0.92150410389895,0.602511696957371
A15,0.7,5,0.970739193165171,0.963728505353921,0.96541685697195,0.896648648228369
Light,0.7,5,0.920784707030558,0.903761680951776,0.903469320422726,0.758167885998612
total,0.7,5,0.985918332217725,0.981104390970263,0.982579004647809,0.929397503766677
A12,0.7,10,0.942865801885894,0.922881245195764,0.918143901212813,0.583396112776194
A15,0.7,10,0.975157145530207,0.961521472254645,0.96500426545615,0.905357752297529
Light,0.7,10,0.922391542833496,0.903571208661266,0.902665450353372,0.62926274992517
total,0.7,10,0.987020965968846,0.980207551226177,0.980676137216443,0.909642175026074
A12,0.6,5,0.936417820791927,0.923282485788438,0.921699093562737,0.615024875607648
A15,0.6,5,0.975668971962048,0.96439581471498,0.967587318237107,0.973760880367103
Light,0.6,5,0.917096038114377,0.89907803543383,0.902801131273649,0.729507905361753
total,0.6,5,0.985852084778098,0.98175189684374,0.982081988372996,0.948367530652622
A12,0.6,10,0.947788701410547,0.920560451271546,0.917422664898767,0.579994758385992
A15,0.6,10,0.976507218851853,0.962793840431172,0.965836564237882,0.97245843463362
Light,0.6,10,0.920647911337384,0.900523638644515,0.904889834719561,0.729951343193987
total,0.6,10,0.989197565263704,0.98092532203945,0.980942092174465,0.946140829537735
A12,0.5,5,0.940197297917508,0.923902490938883,0.922224060191288,0.609386188361113
A15,0.5,5,0.969363487395793,0.964435787272504,0.966366365087183,0.930905590604046
Light,0.5,5,0.915141888903329,0.899321704823331,0.906106919865702,0.683352949222889
total,0.5,5,0.985571123598824,0.981462997866755,0.982217293784463,0.952777746624388
A12,0.5,10,0.944518406698547,0.920531127000449,0.916619327186595,0.581819099896328
A15,0.5,10,0.979450864294335,0.961392805784495,0.9650136124079,0.919780637288696
Light,0.5,10,0.918962445990753,0.90213339238265,0.902595291860851,0.596829390434858
total,0.5,10,0.989114626181635,0.980004314370602,0.97986935415797,0.905957190077205
