target,type,note,MHS,RSquared,AdjustedRSquared
PDR,train,remove none,0.962933579148289,0.831949888424086,0.831669243615175
PDR,test,remove none,0.959901350046739,0.845664323668573,0.845406582058133
PBR,train,remove none,0.885620503632412,0.338635696595238,0.33753121379062
PBR,test,remove none,0.876719175978759,0.327598824766359,0.326475910312061
total,train,remove none,0.975779277650131,0.931221903173894,0.931107043292755
total,test,remove none,0.971787106382622,0.918351268363598,0.918214914436349
PDR,train,date,0.999281450346001,0.990903258387186,0.990888066767926
PDR,test,date,0.999218323668371,0.990806403566933,0.990791050199476
PBR,train,date,0.999558307214622,0.993794478164433,0.993784114901515
PBR,test,date,0.999389760820842,0.985595541863124,0.985571486321813
total,train,date,0.998617071901759,0.964258685724755,0.964198997491162
total,test,date,0.99843378417078,0.958392353776542,0.958322868729409
PDR,train,tz,0.999368569688821,0.993579395866084,0.99356867341429
PDR,test,tz,0.999350509404799,0.994174147192044,0.994164417978938
PBR,train,tz,0.999545617245707,1.00837351265393,1.00838749647599
PBR,test,tz,0.999358144217339,0.999850355748626,0.999850105841727
total,train,tz,0.998330148559738,0.980971405996587,0.980939628117489
total,test,tz,0.997909412832773,0.975333047186989,0.975291853211015
PDR,train,Hospital_PK,0.999312456433143,0.999174158058503,0.999172778896944
PDR,test,Hospital_PK,0.999312912929781,0.996202879159565,0.996196537942397
PBR,train,Hospital_PK,0.999594385830491,1.00655524357301,1.00656619087357
PBR,test,Hospital_PK,0.999472814391318,0.997742862426071,0.997739092991244
total,train,Hospital_PK,0.993304797817454,0.958885301559723,0.95881663973868
total,test,Hospital_PK,0.991602685758131,0.943726051597538,0.943632073727794
PDR,train,Level,0.999306400141533,0.990167980208882,0.990151560670153
PDR,test,Level,0.999311455811036,0.98767414453301,0.987653560272043
PBR,train,Level,0.999577627063255,1.00339950072721,1.00340517791613
PBR,test,Level,0.999553580698719,0.996727352573085,0.996721887230021
total,train,Level,0.993947713230074,0.93811907865277,0.938015737100754
total,test,Level,0.992352722043854,0.922427147504733,0.922297600322877
total,train,add PDR, PBR,0.979924954854116,0.952632490229337,0.952553386171604
total,test,add PDR, PBR,0.975513553921464,0.942212306849797,0.942115801016213
